Aperture Science {แอ๊พ พะ เชอร์ ซาย เอิ่น}
Canasta {กานัซตา}

cave_laugh04	 [หัวเราะ]
eighties_outro06	 เธอจะเถียง และจะบอกว่าเธอทำไม่ได้ เธอเป็นคนถ่อมตัวแบบนั้นแหละ แต่คุณก็บังคับเธอซะ
eighties_outro07	 ให้ตาย จับเธอยัดเข้าไปในคอมพิวเตอร์ของฉันซะ ฉันไม่สนใจอะไรแล้ว
eighties_outro08	  เอาล่ะ การทดสอบจบลงแล้ว คุณกลับไปที่โต๊ะของคุณได้
eighties_outro09	เอาล่ะ ชั้นคิดมานานแล้ว ถ้าชีวิตส่งมะนาวมาให้ อย่าทำน้ำมะนาว ส่งมันกลับไปให้ชีวิตซะ! ด่ามันไป! \ชั้นไม่ต้องการมะนาวสั่วๆของแก ชั้นจะทำอะไรกับมันได้?\
eighties_outro11	 อยากจะเจอหน้าไอ้ตัวที่บงการชีวิตของฉัน! ทำให้ชีวิตมันรู้สึกเศร้าถึงวันที่มันคิดว่าจะให้มะนาวกับ Cave Johnson ได้! แกรู้หรือเปล่าว่าฉันเป็นใคร? ฉันเป็นคนที่จะไปเผาบ้านแกยังไงเล่า! เผาด้วยมะนาว! ฉันจะเรียกวิศวกรให้ประดิษฐ์มะนาวติดไฟที่จะเผาบ้านแกให้เหลือแต่กองขี้เถ้าให้ได้!
fifties_elevator_out_a01	 เขาว่ากันว่าวิทยาศาสตร์ที่ยิ่งใหญ่นั้นสร้างอยู่บนไหล่ยักษ์อันใหญ่ยิ่ง ที่ Aperture เราสร้างวิทยาศาสตร์ขึ้นมาเองแต่แรกเลย ไม่ต้องมีใครมายกถืออะไรทั้งนั้น
fifties_fifth_test_complete03	 ไม่ใช่คุณ ผู้รับการทดสอบ คุณน่ะทำดีแล้ว
fifties_fifth_test_complete08	 ใช่ คุณแหละ กล่อง ของของคุณ ออกทางประตูหน้า ที่จอดรถ รถยนต์ ลาก่อน
fifties_fifth_test_complete09	 วิทยาศาสตร์ไม่ได้เกี่ยวกับ 'ทำไม?' มันเกี่ยวกับ 'ทำไมจะไม่ได้ล่ะ?' ทำไมวิทยาศาสตร์ของเราอันตรายมากมายขนาดนั้นล่ะ? ทำไมคุณไม่ไปแต่งงานกับวิทยาศาสตรืที่ปลอดภัยถ้าคุณชอบมันมากนักล่ะ? ที่จริง ทำไมไม่ไปประดิษฐ์ประตูปลอดภัยพิเศษที่จะไม่ชนก้นคุณระหว่างออกล่ะ เพราะว่าคุณโดนไล่ออกไง
fifties_fifth_test_intro01	 ถ้าคุณได้ยินเสียงนี้ หมายความว่าคุณใช้เวลาในการเดินบนทางเดินระหว่างการทดสอบเป็นเวลานาน พวกนักวิจัยบอกว่านั่นอาจเป็นการตอบสนองต่อความกลัว
fifties_fifth_test_intro03	 ผมไม่ใช่จิตแพทย์นะ แต่คำพูดที่มาจากพวกผู้ทรงภูมิที่ไม่รู้จักความระทึกตื่นเต้นถ้าความระทึกตื่นเต้นนั่นแอบย่องไปปลดเอาบราสีชมพูของพวกเขาออก นั่นฟังดูเหมือน 'การซัดโทษ' เลยล่ะ
fifties_fifth_test_intro06	 พวกเขาไม่ได้บินขึ้นอวกาศ ยกพลขึ้นชายหาด หริอเอาทองกลับมาหรอกนะ ไม่ใช่เลย พวกเราต่างหาก! มีแต่แกกับฉันเท่านั้นที่ต่อสู้กับโลกทั้งใบนี้แหละไอ้หนู! ฉันชอบความอดทนของแกนะ! แต่อาจจะต้องปรับเรื่องความเฉื่อยชากันหน่อย เอาล่ะ มาแก้ปัญหานี่กันดีกว่า!
fifties_fourth_test_complete01	 ชั้นกำลังบอกพวกเขา ใส่กางเกงให้อยู่ล่ะ
fifties_fourth_test_complete02	 เอาล่ะ การทดสอบขั้นต่อไปอาจจะเกี่ยวข้องกับการท่องเวลา ดังนั้นคำแนะนำก็คือ : ถ้าคุณไปเจอตัวคุณเองระหว่างการทดสอบเข้าล่ะก็ อย่าสบตา นักวิจัยบอกไว้ว่า นั่นจะทำให้เวลาถูกลบออกไป ทั้งหมด ทั้งอนาคตและอดีตเลย! ดังนั้นก็ช่วยเหลือตัวคุณทั้งคู่แล้วปล่อยให้เจ้าสุดหล่อสุดสวยนั่นทำเรื่องของเขาไปนะ
fifties_into_middle_of_test01	 ฮ่า! ผมชอบสไตล์ของคุณจัง คุณสร้างกฏขึ้นมาเอง เหมือนกับที่ผมทำเลย
fifties_into_middle_of_test02	 ฝ่ายบัญชีบอกฉันว่าฉันจะไล่คนออกแค่เพราะเขานั่งรถเข็นไม่ได้ แต่ก็ทำไปแล้ว ทางลาดมันแพงนะ
fifties_intro01	 ยินดีต้อนรับ, สุภาพบุรุษทั้งหลาย, สู่ Aperture Science นักบินอวกาศ วีรบุรุษสงคราม นักกีฬาโอลิมปิก-- พวกคุณมาที่นี่เพราะว่าเราต้องการสิ่งที่ดีที่สุด และคุณคือสิ่งนั้น เอาล่ะ : ใครพร้อมที่จะเริ่มต้นวิทยาศาสตร์แล้วบ้าง?
fifties_intro03	 ตอนนี้ คุณก็ได้เจออีกคนในรถลีมูซีนระหว่างทางแล้ว ดังนั้นให้ผมแนะนำตัวซักหน่อย
fifties_intro04	 ผมคือ Cave Johnson เป็นเจ้าของที่นี่
fifties_intro06	เสียงที่นายได้ยินมันเป็นเสียงของผู้ช่วยของชั้น แคโรไลน์ มั่นใจว่าเธอได้โอนค่ะธรรมเนียมไปยังองค์การการกุศลที่นายเลือกแล้วใช่มั้ย แคโรไลน์?
fifties_intro07	หล่อนคือกระดูกสันหลังของโรงงานนี้ เป็นโปสการ์ดที่น่ารักมาก ขอโทษหล่อนแต่งงานแล้ว
fifties_outro02	 ขอแสดงความยินดีด้วย! ความจริงง่ายๆซึ่งก็คือการที่คุณได้มายืนฟังผมอยู่ตรงนี้หมายความว่าคุณได้เอื้อประโยชน์อันทรงเกียรติของคุณให้แก่วิทยาศาสตร์
fifties_outro05	 ในฐานะผู้ก่อตั้งและผู้บริหารของ Aperture Science ผมขอขอบคุณในการมีส่วนร่วมของคุณ และหวังว่าเราจะสามารถไว้วางใจคุณในการทดสอบครั้งต่อไป
fifties_outro07	 เราจะไม่ปล่อยสิ่งนี้ออกไปจนกว่ามันจะดีเยี่ยมและพร้อมสุดๆ ดังนั้นตราบใดที่ร่างกายคุณยังฟิตเต็มที่ รถลีมูซีนจะรอรับคุณเสมอ
fifties_outro08	 พูดสิ 'ลาก่อนค่ะ' แคโรลีน
fifties_outro09	 หล่อนมีค่ามาก
fifties_repulsion_intro02	 เอาล่ะ มาเริ่มกันเถอะ การทดสอบแรกเกี่ยวกับสิ่งที่พวกเด็กห้องแล็บเรียกมันว่า \เจลยืดหยุ่น\
fifties_repulsion_intro03	 ยังไงก็ตาม คุณไม่ได้เป็นส่วนหนึ่งของกลุ่มควบคุม คุณได้เจลไป เจ้าคนโชคร้ายล่าสุดได้สีน้ำเงินทาบ้านแทน ฮ่าฮ่าฮ่า หยุดเรื่องตลกไว้ก่อน ที่จริงแล้วมันเกิดขึ้นจริงนะ - กระดูกขาทุกชี้นของเขาหักเรียบ น่าเศร้า แต่มีประโยชน์ ถ้าจะว่ากันตามที่คนบอกฉันนะ
fifties_second_test_complete02	 เรายังไม่สามารถยืนยันองค์ประกอบของมันได้ทั้งหมดหรอกนะ แต่ฉันจะบอกให้ : มันดูมีชีวิตมาก และมันไม่ชอบกระดูกมนุษย์
fifties_second_test_complete03	 โอ้ ในกรณีที่คุณถูกเคลือบด้วยเจลยืดหยุ่น นี่เป็นคำแนะนำที่ฉันได้รับจากพวกเด็กแล็บ : อย่าถูกเคลือบโดยเจลยืดหยุ่น
fifties_second_test_intro01	 พวกเด็กๆห้องแล็บแจ้งให้ฉันทราบว่าว่าฉันไม่ควรจะพูดถึงกลุ่มควบคุม พวกเขาบอกว่าฉันน่าจะเลิกอัดข้อความล่วงหน้าพวกนี้ได้แล้ว นั่นทำให้ฉันได้ไอเดีย: ทำบันทึกข้อความให้มากกว่านี้ ฉันเป็นคนจ่ายเงินที่นี่นะ ฉันจะคุยเรื่องกลุ่มควบคุมทั้งวันยังไงก็ได้
fifties_waiting01	 มีการทดสอบเป็นพันเกิดขึ้นทุกวันในโถงกลมพัฒนาศักยภาพของเรา ผมเองไม่สามารถตามไปดูพวกมันทุกอันได้หรอกนะ ดังนั้นบันทึกข้อความพวกนี้จะครอบคลุมคำถามที่พวกคุณอาจจะมี และตอบสนองต่อเหตุที่อาจจะเกิดขึ้นในระหว่างการเดินทางวิทยาศาสตร์ของคุณ
fifties_waiting03	 การทดสอบของพวกคุณจะต่างกันไป ขึ้นอยู่กับว่าคุณเปลี่ยนโลกให้ตรงตามที่คุณต้องการยังไง
fifties_waiting05	 คนที่จะช่วยเราทดสอบเจลยืดหยุ่นในวันนี้ เดินตามเส้นสีน้ำเงินบนพื้นไปเลยครับ
fifties_waiting07	 พวกคุณที่อาสาเข้ารับการฉีด DNA ของตั้กแตนตำข้าว ผมมีข่าวดีนิดหน่อยและข่าวร้ายนิดหน่อย
fifties_waiting08	 ข่าวร้ายคือเราได้เลื่อนการทดสอบไปอย่างไม่มีกำหนด ข่าวดีคือเรามีการทดสอบที่ดีกว่ามากให้คุณทำ : ต่อสู้กับมนุษย์ตั้กแตน หยิบไรเฟิลและตามเส้นเหลืองไปเลยครับ การทดสอบเริ่มเมื่อไหร่คุณจะรู้เอง
misc_tests01	โดยเฉลี่ยมนุษย์รู้ชายประกอบไปด้วยน้ำ 60 เปอร์เซ็นต์ อย่างที่เราได้รู้ มันดูจะมากเกินไป ดังนั้นหากคุณรู้สึกเหมือนสูญเสียน้ำจากร่างกายในการทดลองถัดไป เป็นเรื่องธรรมดา เราจะยิงคุณด้วยเครื่องยนต์แรงดันก๊าซบางชนิด มันจะทำให้คุณเหลือน้ำในร่างเพียง 20 -30 เปอร์เซ็นต์
misc_tests02	 สำหรับการทดสอบต่อไป เราใส่อนุภาคนาโนเข้าไปในเจล ถ้าจะพูดแบบเข้าใจง่าย นั้นคือเจ้าตัวจิ๋วนับล้านตัวที่กำลังจะเดินทางเข้าไปในกระแสเลือดของคุณแล้วปั้มเอายีนทดลอง โมเลกุล RNA และอื่นๆเข้าไปในเนื้อร้ายของคุณ
misc_tests03	 คุณอาจจะยังไม่มีเนื้อร้ายในตอนนี้ เอาล่ะ ไม่ต้องเป็นห่วง ถ้าคุณนั่งบนเก้าอี้พับในห้องโถงแล้วไม่ได้ใส่กางเกงในทำจากตะกั่วล่ะก็ เราจะดูแลเรื่องนั้นให้เหมือนกัน
misc_tests06	ถ้านายไม่ทำการทดสอบพวกนี้ นายอาจรู้ว่าเลือดของนายคือน้ำมัน นั่นปกติ พวกเราเคยยิ่งนายด้วยเลเซอร์มันเปลี่ยนเลือดเป็นน้ำมัน มันหมายความว่าถ้ามันได้ผล
misc_tests07	 เตือนนิดหน่อย: กาแฟที่เราให้คุณก่อนหน้านี้มีฟลูออเรสเซนต์แคลเซียมผสมอยู่ เพื่อที่เราจะสามารถติดตามการทำงานของระบบประสาทในสมองของคุณ มันมีโอกาสเล็กน้อยที่แคลเซียมจะแข็งตัวและทำให้สมองส่วนหน้าของคุณกลายเป็นแก้ว อย่างไรก็ตาม คุณไม่ต้องไปเครียดอะไรกับมันมาก ผมพูดจริงๆนะ การจำลองสถานการณ์ในหัวในระหว่างที่เกิดความเครียดจะทำให้ปฏิกิริยาเกิดขึ้นจริง
misc_tests08	 ศูนย์วิทยาศาสตร์ทรงกลมพวกนี้ทำมาจากแร่ใยหิน อย่างไรก็ตามนะ อย่าให้หนูเข้าใกล้ล่ะ แจ้งให้พวกเราทราบด้วยถ้าคุณรู้สึกหายขัดติดขัด ไอแห้งๆเป็นเวลานานไม่หยุดหรือหัวใจหยุดเต้น เพราะนั่นไม่ใช่ส่วนหนึ่งของการทดสอบ มันแร่ใยหิน
misc_tests10	 ข่าวดีคือ เด็กในห้องปฏิบัติการบอกว่าอาการของพิษแร่ใยหินจะแสดงอาการภายใน 46.6 ปี ดังนั้นถ้าคุณอายุ 30 ปีหรือแก่กว่า เชิญหัวเราะได้เลย อย่างแย่ที่สุดคุณก็แค่พลาดเล่นไพ่ กานัซตา สองสามรอบเท่านั้นเอง แถมคุณยังช่วยผลักดันวิทยาศาสตร์ให้ก้าวหน้าไปสามทศวรรษอีกต่างหาก ผมลองกดตัวเลขเหล่านั้นลงในเครื่องคิดเลข มันแสดงหน้ายี้มออกมา
misc_tests14	 ถ้าคุณต้องการไปเข้าห้องน้ำหลังจากการทดสอบชุดต่อไป กรุณาบอกให้ผู้ร่วมการทดสอบรู้ด้วย เพราะมีความเป็นไปได้สูงว่า อะไรก็ตามที่ออกมาจากตัวคุณจะเป็นถ่านหิน แค่ชั่วคราวเท่านั้น ไม่ต้องกังวล แต่ถ้ามันเป็นแบบนั้นทั้งสัปดาห์ ให้เริ่มกังวลและมาหาพวกเราได้แล้ว เพราะนั่นมันไม่ควรจะเกิดเลย
misc_tests24	ขึ้น: เราจะเปิดระบบตัวนำยิ่งยวดและระเบิดไปที่นายในช่วงการทดสอบถัดไป ชั้นพูดจริงๆนะ เราโยนการศึกษาไปที่กำแพงตรงนั้นและดูว่าอะไรที่ติด คิดไม่ออกว่าชั้นจะทำอะไร บางทีอาจไม่มี ทางที่ดีที่สุดแผนการ นายอาจได้พลังมา กรณีที่แย่ก็คือ มีเนื้องอก ที่เราจะตัดมันออก
misc_tests25	ถ้านายเป็นโรคแพ้ถั่ว นายอาจอยากบอกใครบางคน เพราะการทดสอบต่อไปนายจะต้องเจอกับถั่ว ถ้าเราทำให้มันเกิดขึ้นได้ เขาจะประดิษฐ์รางวัลโนเบลประเภทใหม่เพื่อที่จะให้เรา ดังนั้นทนไว้
misc_tests26	 ตอนนี้ถ้าคุณอยู่ในกลุ่มควบคุม เคป-เลอร์ 7  เราได้ฝังไมโครชิปขนาดเท่าโปสการ์ดลงในกระดูกของคุณ คาดว่าพวกคุณคงลืมไปแล้วแน่ๆ แต่ถ้ามันเริ่มสั่นและส่งเสียงบี๊บในระหว่างการทดสอบต่อไปนี้ แจ้งให้เราทราบด้วย เพราะนั่นหมายความว่ามันกำลังจะแตะอุณหภูมิห้าร้อยองศา เราต้องไปหาและเอามันออกมาจากตัวคุณอย่างด่วนเลย
misc_tests28	โอเค เรากำลังทำการทดสอบการหายตัว มันใช้ไม่ได้สำหรับผิวทุกประเภท จำไว้ผิวของนายไว้ และถ้ามันไม่ได้หายไปพร้อมกับนาย นายจะทำทุกอย่างให้เราเห็นว่านายกลับไปที่มัน
seventies_intro02	 ตอนนี้คุณอาจจะถามตัวเองว่า \Cave การทดลองพวกนี้มันยากแค่ไหนกัน? อะไรอยู่ในสมุดโทรศัพท์ของเจ้าของสัญญาที่ฉันเซ็นไป? ชั้นกำลังตกอยู่ในอันตรายหรือเปล่าเนี่ย?\
seventies_intro04	 ให้ชั้นตอบคำถามพวกนั้นด้วยคำถามเถอะ ใครต้องการเงิน 6 ดอลลาร์? เงินสด
seventies_intro06	 คุณยังสามารถพักผ่อนได้ถึง 20 นาทีในห้องพักรอ ซึ่งมันสบายกว่ากันเยอะเมื่อเทียบกับม้านั่งในสวนที่พวกคุณส่วนใหญ่นอนกันอยู่ตอนที่เราไปพบคุณ
seventies_intro07	 สำหรับคุณหลายๆคน ผมรู้ว่า 60 ดอลลาร์นั้นเป็นเงินจำนวนมหาศาล ดังนั้นอย่าเพิ่งใช้มันไปกับ... ฉันไม่รู้น่ะ แคโรไลน์ คนพวกนี้ซื้ออะไรกันหรือ? หมวกขาดๆ? เคราสกปรกๆ?
seventies_intro14	 เอาล่ะ ขอต้อนรับสู่ Aperture พวกคุณมาอยู่ที่นี้เพราะเราต้องการสิ่งที่ดีที่สุด และคุณก็เป็นสิ่งนั้น... ไม่ ผมทำหน้าเฉยๆไม่ได้
seventies_intro15	 อย่างไรก็ตาม อย่าทำให้กระจกนั่นมีรอย ทีจริง ทำไมคุณไม่ไปต่อและพยายามไม่จับอะไรยกเว้นว่าจะเกี่ยวกับการทดสอบล่ะ?
seventies_intro16	 ยินดีต้อนรับ เพื่อนๆทั้งหลาย ผม Cave Johnson CEO ของ Aperture Science - คุณอาจจะรู้จักเราในฐานะผู้มีส่วนสำคัญในการอภิปรายของสภา เรื่องนักบินอวกาศที่สูญหายไปในปี 1968 และคุณน่าจะเคยใช้หนึ่งในผลิตภัณฑ์ที่พวกเขาคิดค้นขึ้น แต่ใครบางคนได้ขโมยมันจากเราไป Black Mesa จะได้เอาของที่ล้มละลายของฉันไปกิ--
seventies_outro01	 ขอบคุณ - ชั้นไม่อยากเชื่อว่าชั้นจะต้องขอบคุณคนพวกนี้ - สำหรับการที่คุณเดินทางฝ่าการทดสอบเจลเร่งความเร็วของ Aperture Science คุณได้สร้างการเปลี่ยนแปลงในสังคมของเราอย่างแท้จริง และมนุษย์ชาติก็รู้สึกสำนึกในบุญคุณ
seventies_outro02	 ถ้าคุณมีสัมภาระติดตัวใดๆ กรุณาหยิบมันออกไปด้วย เราไม่ต้องการหนังสือพิมพ์เก่าๆและแท่งไม้เกะกะตัวอาคาร
seventies_test_a_complete05	 นี่เปิดอยู่หรือเปล่า? [ตบ ตบ] เฮ้ ฟังนะข้างล่างนั่นน่ะ อันนั้นเขาเรียกว่าลิฟท์ ไม่ใช่ห้องอาบน้ำ
seventies_test_a_complete06	 ทำได้ดีมาก มนุษย์อวกาศ วีรบุรุษสงคราม หรือ แชมป์โอลิมปิค! ด้วยความช่วยเหลือของพวกคุณ เราจะโลก [เทปโดนตัด]
seventies_test_a_intro01	 พื้นที่ทดสอบอยู่ข้างหน้านั่น ยิ่งคุณไปเร็วเท่าไหร่ คุณก็จะได้เงิน 60 ดอลลาร์เร็วขึ้นเท่านั้น
seventies_test_a_intro02	 แคโรไลน์ บัตรค่าชดเชยค่าตอบแทนพร้อมหรือยัง?
seventies_test_b_complete01	 ถ้าคุณสนใจในเงินอีก 60 ดอลลาร์เพิ่มล่ะก็ ตามตัวแผนกคุมการทดสอบแล้วบอกให้เขารู้ คุณอาจจะออกจากที่นี่ไปหร้อมกับเงินหนึ่งร้อยกับอีกยี่สิบถ่วงกระเป๋ากางเกงคุณ ถ้าคุณจะปล่อยให้เราถอดคุณออกเป็นส่วนๆ ใส่อุปกรณ์วิทยาศาสตร์ลงไปนิดหน่อย แล้วต่อคุณเข้าไปใหม่เหมือนเดิม
seventies_test_b_complete03	ในกรณีที่นายสนใจ มันยังมีตำแหน่งว่างสำหรับโอกาสที่ชั้นได้บอกไปแล้วเมื่อกี้ อีกครั้ง: สิ่งที่นายจะทำก็คือแยกชิ้นส่วนของนาย เอาจะไม่เอาหินมากระทบกันที่นี่ เรารู้วิธีที่นายเอานายกลับมาไปด้วยกัน
seventies_test_b_complete04	 ก็เป็นการประกอบใหม่หมดเลย ร่างกายใหม่เอี่ยม แทนที่อันเก่า แถมเรายังเอาเนื้อร้ายออกให้ด้วย นายควรจะเป็นฝ่ายจ่ายเราด้วยซ้ำ
