"cavejohnson.cave_laugh04"	"เคฟ จอห์นสัน: [หัวเราะ]"
"[english]cavejohnson.eighties_intro08"	"<clr:205,149,117>Cave Johnson: And guess what? Ground up moon rocks are pure poison. I am deathly ill."
"cavejohnson.eighties_intro10"	"Cave Johnson: ยังไงก็เหอะ มันกลายเป็นว่าพวกมันเป็นตัวนำการก่อประตูมิติที่ดี เราก็เลยจะดูกันว่าเราจะเอาพิษดวงจันทร์ออกจากกระแสเลือดคนถ้าเราโดดเข้าออกประตูมิติพวกนี้ได้ไหม ถ้าชีวติให้มะนาวคุณมา เอามันไปทำน้ำมะนาว [ไอ] มาคิดในแง่บวกและสร้างวิทยาศาสตร์กันดีกว่า"
"[english]cavejohnson.eighties_intro10"	"<clr:205,149,117>Cave Johnson: Still, it turns out they're a great portal conductor. So now we're gonna see if jumping in and out of these new portals can somehow leech the lunar poison out of a man's bloodstream. When life gives you lemons, make lemonade. [coughs] Let's all stay positive and do some science."
"cavejohnson.eighties_intro12"	"Cave Johnson: อย่างที่บอก ผมจะยินดีมากๆถ้าคุณจะทำการทดสอบให้เร็วที่สุด Caroline เอายาแก้ปวดมาให้ฉันหน่อย"
"[english]cavejohnson.eighties_intro12"	"<clr:205,149,117>Cave Johnson: That said, I would really appreciate it if you could test as fast as possible. Caroline, please bring me more pain pills."
"cavejohnson.eighties_outro02"	"Cave Johnson: ประเด็นก็คือ ถ้าเราสามารถเก็บเพลงไว้ในแผ่นซีดีได้ ทำไมเราถึงไม่สามารถเก็บสติปัญญาและลักษณะนิสัยของคนๆหนึ่งไว้บนนั้นได้ล่ะ? เพราะอย่างนั้นชั้นถึงให้วิศวกรค้นคว้าเรื่องนั้นอยู่"
"[english]cavejohnson.eighties_outro02"	"<clr:205,149,117>Cave Johnson: The point is: If we can store music on a compact disc, why can't we store a man's intelligence and personality on one? So I have the engineers figuring that out now."
"cavejohnson.eighties_outro05"	"Cave Johnson: การทำแผนผังสมอง ปัญญาประดิษฐ์ เราน่าจะศึกษาเรื่องพวกนี้ตั้งแต่สามสิบปีก่อน ชั้นจะพูด-และจะอัดเสียงใส่เทปให้ทุกคนได้ฟังวันละร้อยหน: ถ้าชั้นตายไปก่อนที่ทุกคนจะทำให้ชั้นกลายเป็นคอมพิวเตอร์ได้ ชั้นอยากให้ Caroline มาสานต่อที่นี่"
"[english]cavejohnson.eighties_outro05"	"<clr:205,149,117>Cave Johnson: Brain Mapping. Artificial Intelligence. We should have been working on it thirty years ago. I will say this - and I'm gonna say it on tape so everybody hears it a hundred times a day: If I die before you people can pour me into a computer, I want Caroline to run this place."
"cavejohnson.eighties_outro06"	"Cave Johnson: เธอจะเถียง และจะบอกว่าเธอทำไม่ได้ เธอเป็นคนถ่อมตัวแบบนั้นแหละ แต่คุณก็บังคับเธอซะ"
"[english]cavejohnson.eighties_outro06"	"<clr:205,149,117>Cave Johnson: Now she'll argue. She'll say she can't. She's modest like that. But you make her."
"cavejohnson.eighties_outro07"	"Cave Johnson: ให้ตาย จับเธอยัดเข้าไปในคอมพิวเตอร์ของฉันซะ ฉันไม่สนใจอะไรแล้ว"
"[english]cavejohnson.eighties_outro07"	"<clr:205,149,117>Cave Johnson: Hell, put her in my computer. I don't care."
"cavejohnson.eighties_outro08"	"Cave Johnson:  เอาล่ะ การทดสอบจบลงแล้ว คุณกลับไปที่โต๊ะของคุณได้"
"[english]cavejohnson.eighties_outro08"	"<clr:205,149,117>Cave Johnson: Allright, test's over. You can head on back to your desk."
"cavejohnson.eighties_outro09"	"เอาล่ะ ชั้นคิดมานานแล้ว ถ้าชีวิตส่งมะนาวมาให้ อย่าทำน้ำมะนาว ส่งมันกลับไปให้ชีวิตซะ! ด่ามันไป! \"ชั้นไม่ต้องการมะนาวสั่วๆของแก ชั้นจะทำอะไรกับมันได้?\""
"[english]cavejohnson.eighties_outro09"	"<clr:205,149,117>Cave Johnson: All right, I've been thinking. When life gives you lemons? Don't make lemonade. Make life take the lemons back! Get mad! 'I don't want your damn lemons! What am I supposed to do with these?'"
"cavejohnson.eighties_outro11"	"Cave Johnson: อยากจะเจอหน้าไอ้ตัวที่บงการชีวิตของฉัน! ทำให้ชีวิตมันรู้สึกเศร้าถึงวันที่มันคิดว่าจะให้มะนาวกับ Cave Johnson ได้! แกรู้หรือเปล่าว่าฉันเป็นใคร? ฉันเป็นคนที่จะไปเผาบ้านแกยังไงเล่า! เผาด้วยมะนาว! ฉันจะเรียกวิศวกรให้ประดิษฐ์มะนาวติดไฟที่จะเผาบ้านแกให้เหลือแต่กองขี้เถ้าให้ได้!"
"[english]cavejohnson.eighties_outro11"	"<clr:205,149,117>Cave Johnson: Demand to see life's manager! Make life rue the day it thought it could give Cave Johnson lemons! Do you know who I am? I'm the man who's going to burn your house down! With the lemons! I'm going to get my engineers to invent a combustible lemon that burns your house down!"
"cavejohnson.fifties_elevator_out_a01"	"Cave Johnson: เขาว่ากันว่าวิทยาศาสตร์ที่ยิ่งใหญ่นั้นสร้างอยู่บนไหล่ยักษ์อันใหญ่ยิ่ง ที่ Aperture เราสร้างวิทยาศาสตร์ขึ้นมาเองแต่แรกเลย ไม่ต้องมีใครมายกถืออะไรทั้งนั้น"
"[english]cavejohnson.fifties_elevator_out_a01"	"<clr:205,149,117>Cave Johnson: They say great science is built on the shoulders of giants. Not here. At Aperture, we do all our science from scratch. No hand holding."
"cavejohnson.fifties_fifth_test_complete03"	"Cave Johnson: ไม่ใช่คุณ ผู้รับการทดสอบ คุณน่ะทำดีแล้ว"
"[english]cavejohnson.fifties_fifth_test_complete03"	"<clr:205,149,117>Cave Johnson: Not you, test subject, you're doing fine."
"cavejohnson.fifties_fifth_test_complete08"	"Cave Johnson: ใช่ คุณแหละ กล่อง ของของคุณ ออกทางประตูหน้า ที่จอดรถ รถยนต์ ลาก่อน"
"[english]cavejohnson.fifties_fifth_test_complete08"	"<clr:205,149,117>Cave Johnson: Yes, you. Box. Your stuff. Out the front door. Parking lot. Car. Goodbye."
"cavejohnson.fifties_fifth_test_complete09"	"Cave Johnson: วิทยาศาสตร์ไม่ได้เกี่ยวกับ 'ทำไม?' มันเกี่ยวกับ 'ทำไมจะไม่ได้ล่ะ?' ทำไมวิทยาศาสตร์ของเราอันตรายมากมายขนาดนั้นล่ะ? ทำไมคุณไม่ไปแต่งงานกับวิทยาศาสตรืที่ปลอดภัยถ้าคุณชอบมันมากนักล่ะ? ที่จริง ทำไมไม่ไปประดิษฐ์ประตูปลอดภัยพิเศษที่จะไม่ชนก้นคุณระหว่างออกล่ะ เพราะว่าคุณโดนไล่ออกไง"
"[english]cavejohnson.fifties_fifth_test_complete09"	"<clr:205,149,117>Cave Johnson: Science isn't about WHY. It's about WHY NOT. Why is so much of our science dangerous? Why not marry safe science if you love it so much. In fact, why not invent a special safety door that won't hit you on the butt on the way out, because you are fired."
"cavejohnson.fifties_fifth_test_intro01"	"Cave Johnson: ถ้าคุณได้ยินเสียงนี้ หมายความว่าคุณใช้เวลาในการเดินบนทางเดินระหว่างการทดสอบเป็นเวลานาน พวกนักวิจัยบอกว่านั่นอาจเป็นการตอบสนองต่อความกลัว"
"[english]cavejohnson.fifties_fifth_test_intro01"	"<clr:205,149,117>Cave Johnson: If you're hearing this, it means you're taking a long time on the catwalks between tests. The lab boys say that might be a fear reaction."
"cavejohnson.fifties_fifth_test_intro03"	"Cave Johnson: ผมไม่ใช่จิตแพทย์นะ แต่คำพูดที่มาจากพวกผู้ทรงภูมิที่ไม่รู้จักความระทึกตื่นเต้นถ้าความระทึกตื่นเต้นนั่นแอบย่องไปปลดเอาบราสีชมพูของพวกเขาออก นั่นฟังดูเหมือน 'การซัดโทษ' เลยล่ะ"
"[english]cavejohnson.fifties_fifth_test_intro03"	"<clr:205,149,117>Cave Johnson: I'm no psychiatrist, but coming from a bunch of eggheads who wouldn't recognize the thrill of danger if it walked up and snapped their little pink bras, that sounds like 'projection'."
"cavejohnson.fifties_fifth_test_intro06"	"Cave Johnson: พวกเขาไม่ได้บินขึ้นอวกาศ ยกพลขึ้นชายหาด หริอเอาทองกลับมาหรอกนะ ไม่ใช่เลย พวกเราต่างหาก! มีแต่แกกับฉันเท่านั้นที่ต่อสู้กับโลกทั้งใบนี้แหละไอ้หนู! ฉันชอบความอดทนของแกนะ! แต่อาจจะต้องปรับเรื่องความเฉื่อยชากันหน่อย เอาล่ะ มาแก้ปัญหานี่กันดีกว่า!"
"[english]cavejohnson.fifties_fifth_test_intro06"	"<clr:205,149,117>Cave Johnson: THEY didn't fly into space, storm a beach, or bring back the gold. No sir, we did! It's you and me against the world, son! I like your grit! Hustle could use some work, though. Now let's solve this thing!"
"cavejohnson.fifties_fourth_test_complete01"	"Cave Johnson: ชั้นกำลังบอกพวกเขา ใส่กางเกงให้อยู่ล่ะ"
"[english]cavejohnson.fifties_fourth_test_complete01"	"<clr:205,149,117>Cave Johnson: I'm telling 'em, keep your pants on."
"cavejohnson.fifties_fourth_test_complete02"	"Cave Johnson: เอาล่ะ การทดสอบขั้นต่อไปอาจจะเกี่ยวข้องกับการท่องเวลา ดังนั้นคำแนะนำก็คือ : ถ้าคุณไปเจอตัวคุณเองระหว่างการทดสอบเข้าล่ะก็ อย่าสบตา นักวิจัยบอกไว้ว่า นั่นจะทำให้เวลาถูกลบออกไป ทั้งหมด ทั้งอนาคตและอดีตเลย! ดังนั้นก็ช่วยเหลือตัวคุณทั้งคู่แล้วปล่อยให้เจ้าสุดหล่อสุดสวยนั่นทำเรื่องของเขาไปนะ"
"[english]cavejohnson.fifties_fourth_test_complete02"	"<clr:205,149,117>Cave Johnson: Alright, this next test may involve trace amounts of time travel. So, word of advice: If you meet yourself on the testing track, don't make eye contact. Lab boys tell me that'll wipe out time. Entirely. Forward and backward! So do both of yourselves a favor and just let that handsome devil go about his business."
"cavejohnson.fifties_into_middle_of_test01"	"Cave Johnson: ฮ่า! ผมชอบสไตล์ของคุณจัง คุณสร้างกฏขึ้นมาเอง เหมือนกับที่ผมทำเลย"
"[english]cavejohnson.fifties_into_middle_of_test01"	"<clr:205,149,117>Cave Johnson: Ha! I like your style. You make up your own rules, just like me."
"cavejohnson.fifties_into_middle_of_test02"	"Cave Johnson: เจ้าคนนับถั่วบอกฉันว่าฉันจะไล่คนออกแค่เพราะเขานั่งรถเข็นไม่ได้ แต่ก็ทำไปแล้ว ทางลาดมันแพงนะ"
"[english]cavejohnson.fifties_into_middle_of_test02"	"<clr:205,149,117>Cave Johnson: Bean counters said I couldn't fire a man just for being in a wheelchair. Did it anyway. Ramps are expensive."
"cavejohnson.fifties_intro01"	"Cave Johnson: ยินดีต้อนรับ, สุภาพบุรุษทั้งหลาย, สู่ Aperture Science นักบินอวกาศ วีรบุรุษสงคราม นักกีฬาโอลิมปิก-- พวกคุณมาที่นี่เพราะว่าเราต้องการสิ่งที่ดีที่สุด และคุณคือสิ่งนั้น เอาล่ะ : ใครพร้อมที่จะเริ่มต้นวิทยาศาสตร์แล้วบ้าง?"
"[english]cavejohnson.fifties_intro01"	"<clr:205,149,117>Cave Johnson: Welcome, gentlemen, to Aperture Science. Astronauts, war heroes, Olympians--you're here because we want the best, and you are it. So: Who is ready to make some science?"
"cavejohnson.fifties_intro03"	"Cave Johnson: ตอนนี้ คุณก็ได้เจออีกคนในรถลีโมฯระหว่างทางแล้ว ดังนั้นให้ผมแนะนำตัวซักหน่อย"
"[english]cavejohnson.fifties_intro03"	"<clr:205,149,117>Cave Johnson: Now, you already met one another on the limo ride over, so let me introduce myself."
"cavejohnson.fifties_intro04"	"Cave Johnson: ผมคือ Cave Johnson เป็นเจ้าของที่นี่"
"[english]cavejohnson.fifties_intro04"	"<clr:205,149,117>Cave Johnson: I'm Cave Johnson. I own the place."
"cavejohnson.fifties_intro06"	"เสียงที่นายได้ยินมันเป็นเสียงของผู้ช่วยของชั้น แคโรไลน์ มั่นใจว่าเธอได้โอนค่ะธรรมเนียมไปยังองค์การการกุศลที่นายเลือกแล้วใช่มั้ย แคโรไลน์?"
"[english]cavejohnson.fifties_intro06"	"<clr:205,149,117>Cave Johnson: That eager voice you heard is the lovely Caroline, my assistant. Rest assured, she has transferred your honorarium to the charitable organization of your choice. Isn't that right, Caroline?"
"cavejohnson.fifties_intro07"	"หล่อนคือกระดูกสันหลังของโรงงานนี้ เป็นโปสการ์ดที่น่ารักมาก ขอโทษหล่อนแต่งงานแล้ว"
"[english]cavejohnson.fifties_intro07"	"<clr:205,149,117>Cave Johnson: She's the backbone of this facility. Pretty as a postcard, too. Sorry, fellas. She's married. To science."
"cavejohnson.fifties_outro02"	"Cave Johnson: ขอแสดงความยินดีด้วย! ความจริงง่ายๆซึ่งก็คือการที่คุณได้มายืนฟังผมอยู่ตรงนี้หมายความว่าคุณได้เอื้อประโยชน์อันทรงเกียรติของคุณให้แก่วิทยาศาสตร์"
"[english]cavejohnson.fifties_outro02"	"<clr:205,149,117>Cave Johnson: Congratulations! The simple fact that you're standing here listening to me means you've made a glorious contribution to science."
"cavejohnson.fifties_outro05"	"Cave Johnson: ในฐานะผู้ก่อตั้งและผู้บริหารของ Aperture Science ผมขอขอบคุณในการมีส่วนร่วมของคุณ และหวังว่าเราจะสามารถไว้วางใจคุณในการทดสอบครั้งต่อไป"
"[english]cavejohnson.fifties_outro05"	"<clr:205,149,117>Cave Johnson: As founder and CEO of Aperture Science, I thank you for your participation and hope we can count on you for another round of tests."
"cavejohnson.fifties_outro07"	"Cave Johnson: เราจะไม่ปล่อยสิ่งนี้ออกไปจนกว่ามันจะดีเยี่ยมและพร้อมสุดๆ ดังนั้นตราบใดที่ร่างกายคุณยังฟิตเต็มที่ รถลีมูซีนจะรอรับคุณเสมอ"
"[english]cavejohnson.fifties_outro07"	"<clr:205,149,117>Cave Johnson: We're not gonna release this stuff into the wild until it's good and damn ready, so as long as you keep yourself in top physical form, there'll always be a limo waiting for you."
"cavejohnson.fifties_outro08"	"Cave Johnson: พูดสิ 'ลาก่อนค่ะ' แคโรลีน"
"[english]cavejohnson.fifties_outro08"	"<clr:205,149,117>Cave Johnson: Say goodbye, Caroline."
"cavejohnson.fifties_outro09"	"Cave Johnson: หล่อนมีค่ามาก"
"[english]cavejohnson.fifties_outro09"	"<clr:205,149,117>Cave Johnson: She is a gem."
"cavejohnson.fifties_repulsion_intro02"	"Cave Johnson: เอาล่ะ มาเริ่มกันเถอะ การทดสอบแรกเกี่ยวกับสิ่งที่พวกเด็กห้องแล็บเรียกมันว่า \"เจลยืดหยุ่น\""
"[english]cavejohnson.fifties_repulsion_intro02"	"<clr:205,149,117>Cave Johnson: Alright, let's get started. This first test involves something the lab boys call 'repulsion gel.'"
"cavejohnson.fifties_repulsion_intro03"	"Cave Johnson: ยังไงก็ตาม คุณไม่ได้เป็นส่วนหนึ่งของกลุ่มควบคุม คุณได้เจลไป เจ้าคนโชคร้ายล่าสุดได้สีน้ำเงินทาบ้านแทน ฮ่าฮ่าฮ่า หยุดเรื่องตลกไว้ก่อน ที่จริงแล้วมันเกิดขึ้นจริงนะ - กระดูกขาทุกชี้นของเขาหักเรียบ น่าเศร้า แต่มีประโยชน์ ถ้าจะว่ากันตามที่คนบอกฉันนะ"
"[english]cavejohnson.fifties_repulsion_intro03"	"<clr:205,149,117>Cave Johnson: You're not part of the control group, by the way. You get the gel. Last poor son of a gun got blue paint. Hahaha. All joking aside, that did happen - broke every bone in his legs. Tragic. But informative. Or so I'm told."
"cavejohnson.fifties_second_test_complete02"	"Cave Johnson: เรายังไม่สามารถยืนยันองค์ประกอบของมันได้ทั้งหมดหรอกนะ แต่ฉันจะบอกให้ : มันดูมีชีวิตมาก และมันไม่ชอบกระดูกมนุษย์"
"[english]cavejohnson.fifties_second_test_complete02"	"<clr:205,149,117>Cave Johnson: We haven't entirely nailed down what element it is yet, but I'll tell you this: it's a lively one, and it does NOT like the human skeleton."
"cavejohnson.fifties_second_test_complete03"	"Cave Johnson: โอ้ ในกรณีที่คุณถูกเคลือบด้วยเจลยืดหยุ่น นี่เป็นคำแนะนำที่ฉันได้รับจากพวกเด็กแล็บ : อย่าถูกเคลือบโดยเจลยืดหยุ่น"
"[english]cavejohnson.fifties_second_test_complete03"	"<clr:205,149,117>Cave Johnson: Oh, in case you got covered in that repulsion gel, here's some advice the lab boys gave me: DO NOT get covered in the repulsion gel."
"cavejohnson.fifties_second_test_intro01"	"Cave Johnson: พวกเด็กๆห้องแล็บแจ้งให้ฉันทราบว่าว่าฉันไม่ควรจะพูดถึงกลุ่มควบคุม พวกเขาบอกว่าฉันน่าจะเลิกอัดข้อความล่วงหน้าพวกนี้ได้แล้ว นั่นทำให้ฉันได้ไอเดีย: ทำบันทึกข้อความให้มากกว่านี้ ฉันเป็นคนจ่ายเงินที่นี่นะ ฉันจะคุยเรื่องกลุ่มควบคุมทั้งวันยังไงก็ได้"
"[english]cavejohnson.fifties_second_test_intro01"	"<clr:205,149,117>Cave Johnson: The lab boys just informed me that I should not have mentioned the control group. They're telling me I oughtta stop making these pre-recorded messages. That gave me an idea: make more pre-recorded messages. I pay the bills here, I can talk about the control group all damn day."
"cavejohnson.fifties_waiting01"	"Cave Johnson: มีการทดสอบเป็นพันเกิดขึ้นทุกวันในโถงกลมพัฒนาศักยภาพของเรา ผมเองไม่สามารถตามไปดูพวกมันทุกอันได้หรอกนะ ดังนั้นบันทึกข้อความพวกนี้จะครอบคลุมคำถามที่พวกคุณอาจจะมี และตอบสนองต่อเหตุที่อาจจะเกิดขึ้นในระหว่างการเดินทางวิทยาศาสตร์ของคุณ"
"[english]cavejohnson.fifties_waiting01"	"<clr:205,149,117>Cave Johnson: There's a thousand tests performed every day here in our enrichment spheres. I can't personally oversee every one of them, so these pre-recorded messages'll cover any questions you might have, and respond to any incidents that may occur in the course of your science adventure."
"cavejohnson.fifties_waiting03"	"Cave Johnson: การทดสอบของพวกคุณจะต่างกันไป ขึ้นอยู่กับว่าคุณเปลี่ยนโลกให้ตรงตามที่คุณต้องการยังไง"
"[english]cavejohnson.fifties_waiting03"	"<clr:205,149,117>Cave Johnson: Your test assignment will vary, depending on the manner in which you have bent the world to your will."
"cavejohnson.fifties_waiting05"	"Cave Johnson: คนที่จะช่วยเราทดสอบเจลยืดหยุ่นในวันนี้ เดินตามเส้นสีน้ำเงินบนพื้นไปเลยครับ"
"[english]cavejohnson.fifties_waiting05"	"<clr:205,149,117>Cave Johnson: Those of you helping us test the repulsion gel today, just follow the blue line on the floor."
"cavejohnson.fifties_waiting07"	"Cave Johnson: พวกคุณที่อาสาเข้ารับการฉีด DNA ของตั้กแตนตำข้าว ผมมีข่าวดีนิดหน่อยและข่าวร้ายนิดหน่อย"
"[english]cavejohnson.fifties_waiting07"	"<clr:205,149,117>Cave Johnson: Those of you who volunteered to be injected with praying mantis DNA, I've got some good news and some bad news."
"cavejohnson.fifties_waiting08"	"Cave Johnson: ข่าวร้ายคือเราได้เลื่อนการทดสอบไปอย่างไม่มีกำหนด ข่าวดีคือเรามีการทดสอบที่ดีกว่ามากให้คุณทำ : ต่อสู้กับมนุษย์ตั้กแตน หยิบไรเฟิลและตามเส้นเหลืองไปเลยครับ การทดสอบเริ่มเมื่อไหร่คุณจะรู้เอง"
"[english]cavejohnson.fifties_waiting08"	"<clr:205,149,117>Cave Johnson: Bad news is we're postponing those tests indefinitely. Good news is we've got a much better test for you: fighting an army of mantis men. Pick up a rifle and follow the yellow line. You'll know when the test starts."
"cavejohnson.misc_tests01"	"โดยเฉลี่ยมนุษย์รู้ชายประกอบไปด้วยน้ำ 60 เปอร์เซ็นต์ อย่างที่เราได้รู้ มันดูจะมากเกินไป ดังนั้นหากคุณรู้สึกเหมือนสูญเสียน้ำจากร่างกายในการทดลองถัดไป เป็นเรื่องธรรมดา เราจะยิงคุณด้วยเครื่องยนต์แรงดันก๊าซบางชนิด มันจะทำให้คุณเหลือน้ำในร่างเพียง 20 -30 เปอร์เซ็นต์"
"[english]cavejohnson.misc_tests01"	"<clr:205,149,117>Cave Johnson: The average human male is about sixty percent water. Far as we're concerned, that's a little extravagant. So if you feel a bit dehydrated in this next test, that's normal. We're gonna hit you with some jet engines, and see if we can't get you down to twenty or thirty percent."
"cavejohnson.misc_tests02"	"Cave Johnson: สำหรับการทดสอบต่อไป เราใส่อนุภาคนาโนเข้าไปในเจล ถ้าจะพูดแบบ layman's terms นั้นคือเจ้าตัวจิ๋วนับล้านตัวที่กำลังจะเดินทางเข้าไปในกระแสเลือดของคุณแล้วปั้มเอายีนทดลอง โมเลกุล RNA และอื่นๆเข้าไปในเนื้อร้ายของคุณ"
"[english]cavejohnson.misc_tests02"	"<clr:205,149,117>Cave Johnson: For this next test, we put nanoparticles in the gel. In layman's terms, that's a billion little gizmos that are gonna travel into your bloodstream and pump experimental genes and RNA molecules and so forth into your tumors."
"cavejohnson.misc_tests03"	"Cave Johnson: คุณอาจจะยังไม่มีเนื้อร้ายในตอนนี้ เอาล่ะ ไม่ต้องเป็นห่วง ถ้าคุณนั่งบนเก้าอี้พับในห้องโถงแล้วไม่ได้ใส่กางเกงในทำจากตะกั่วล่ะก็ เราจะดูแลเรื่องนั้นให้เหมือนกัน"
"[english]cavejohnson.misc_tests03"	"<clr:205,149,117>Cave Johnson: Now, maybe you don't have any tumors. Well, don't worry. If you sat on a folding chair in the lobby and weren't wearing lead underpants, we took care of that too."
"cavejohnson.misc_tests06"	"ถ้านายไม่ทำการทดสอบพวกนี้ นายอาจรู้ว่าเลือดของนายคือน้ำมัน นั่นปกติ พวกเราเคยยิ่งนายด้วยเลเซอร์มันเปลี่ยนเลือดเป็นน้ำมัน มันหมายความว่าถ้ามันได้ผล"
"[english]cavejohnson.misc_tests06"	"<clr:205,149,117>Cave Johnson: If you've cut yourself at all in the course of these tests, you might have noticed that your blood is pure gasoline. That's normal. We've been shooting you with an invisible laser that's supposed to turn blood into gasoline, so all that means is, it's working."
"cavejohnson.misc_tests07"	"Cave Johnson: เตือนนิดหน่อย: กาแฟที่เราให้คุณก่อนหน้านี้มีฟลูออเรสเซนต์แคลเซียมผสมอยู่ เพื่อที่เราจะสามารถติดตามการทำงานของระบบประสาทในสมองของคุณ มันมีโอกาสเล็กน้อยที่แคลเซียมจะแข็งตัวและทำให้สมองส่วนหน้าของคุณกลายเป็นแก้ว อย่างไรก็ตาม คุณไม่ต้องไปเครียดอะไรกับมันมาก ผมพูดจริงๆนะ การจำลองสถานการณ์ในหัวในระหว่างที่เกิดความเครียดจะทำให้ปฏิกิริยาเกิดขึ้นจริง"
"[english]cavejohnson.misc_tests07"	"<clr:205,149,117>Cave Johnson: Just a heads-up: That coffee we gave you earlier had fluorescent calcium in it so we can track the neuronal activity in your brain. There's a slight chance the calcium could harden and vitrify your frontal lobe. Anyway, don't stress yourself thinking about it. I'm serious. Visualizing the scenario while under stress actually triggers the reaction."
"cavejohnson.misc_tests08"	"Cave Johnson: ศูนย์วิทยาศาสตร์ทรงกลมพวกนี้ทำมาจากแร่ใยหิน อย่างไรก็ตามนะ อย่าให้หนูเข้าใกล้ล่ะ แจ้งให้พวกเราทราบด้วยถ้าคุณรู้สึกหายขัดติดขัด ไอแห้งๆเป็นเวลานานไม่หยุดหรือหัวใจหยุดเต้น เพราะนั่นไม่ใช่ส่วนหนึ่งของการทดสอบ มันแร่ใยหิน"
"[english]cavejohnson.misc_tests08"	"<clr:205,149,117>Cave Johnson: All these science spheres are made of asbestos, by the way. Keeps out the rats. Let us know if you feel a shortness of breath, a persistent dry cough or your heart stopping. Because that's not part of the test. That's asbestos."
"cavejohnson.misc_tests10"	"Cave Johnson: ข่าวดีคือ เด็กในห้องปฏิบัติการบอกว่าอาการของพิษแร่ใยหินจะแสดงอาการภายใน 46.6 ปี ดังนั้นถ้าคุณอายุ 30 ปีหรือแก่กว่า เชิญหัวเราะได้เลย อย่างแย่ที่สุดคุณก็แค่พลาดเล่นไพ่ Canasta สองสามรอบเท่านั้นเอง แถมคุณยังช่วยผลักดันวิทยาศาสตร์ให้ก้าวหน้าไปสามทศวรรษอีกต่างหาก ผมลองกดตัวเลขเหล่านั้นลงในเครื่องคิดเลข มันแสดงหน้ายี้มออกมา"
"[english]cavejohnson.misc_tests10"	"<clr:205,149,117>Cave Johnson: Good news is, the lab boys say the symptoms of asbestos poisoning show a median latency of forty-four point six years, so if you're thirty or older, you're laughing. Worst case scenario, you miss out on a few rounds of canasta, plus you forwarded the cause of science by three centuries. I punch those numbers into my calculator, it makes a happy face."
"cavejohnson.misc_tests14"	"Cave Johnson: ถ้าคุณต้องการไปเข้าห้องน้ำหลังจากการทดสอบชุดต่อไป กรุณาบอกให้ผู้ร่วมการทดสอบรู้ด้วย เพราะมีความเป็นไปได้สูงว่า อะไรก็ตามที่ออกมาจากตัวคุณจะเป็นถ่านหิน แค่ชั่วคราวเท่านั้น ไม่ต้องกังวล แต่ถ้ามันเป็นแบบนั้นทั้งสัปดาห์ ให้เริ่มกังวลและมาหาพวกเราได้แล้ว เพราะนั่นมันไม่ควรจะเกิดเลย"
"[english]cavejohnson.misc_tests14"	"<clr:205,149,117>Cave Johnson: If you need to go to the bathroom after this next series of tests, please let a test associate know, because in all likelihood, whatever comes out of you is going to be coal. Only temporary, so do not worry. If it persists for a week, though, start worrying and come see us, because that's not supposed to happen."
